category_en,orders,customers,products_sold,sellers,units,product_revenue,freight_revenue,gmv,avg_item_price,avg_weight_g,delivered_units,avg_review_score,avg_delivery_days,late_rate,rated_units,negative_review_rate,freight_ratio,pct_of_revenue,cumulative_pct
books_imported,53,52,31,7,60,4639.85,769.85,5409.7,77.33083333333335,625.8333333333334,57,4.508771929824562,7.964912280701754,0.03508771929824561,57,0.08771929824561403,0.14230918535223766,0.0003449823235751988,0.9976023012873114
dvds_blu_ray,57,56,47,10,62,4559.49,1244.8799999999999,5804.37,73.54016129032257,460.0806451612903,61,4.180327868852459,12.852459016393443,0.06557377049180328,61,0.14754098360655737,0.21447288853053817,0.0003390073934540735,0.9979413086807655
party_supplies,39,39,26,12,43,4485.18,827.97,5313.15,104.30651162790699,1997.6744186046512,42,3.8333333333333335,9.142857142857142,0.0,42,0.21428571428571427,0.15583410970892975,0.00033348229318900613,0.9982747909739544
furniture_mattress_and_upholstery,38,38,10,5,38,4368.08,1630.46,5998.54,114.94947368421053,7557.894736842105,37,3.891891891891892,14.405405405405405,0.13513513513513514,37,0.1891891891891892,0.2718094736385854,0.00032477566903291145,0.9985995666429873
portable_kitchen_and_food_preparers,13,13,9,5,14,3933.63,294.42,4228.05,280.97357142857146,2996.4285714285716,14,3.4285714285714284,7.928571428571429,0.07142857142857142,14,0.2857142857142857,0.06963493809202824,0.0002924734242454194,0.9988920400672328
fashio_female_clothing,38,38,26,11,47,2748.7400000000002,607.02,3355.76,58.48382978723405,552.1276595744681,44,3.909090909090909,11.659090909090908,0.06818181818181818,44,0.13636363636363635,0.18088897894962688,0.00020437443281659794,0.9990964145000494
fashion_sport,27,27,19,10,30,2119.51,578.13,2697.64,70.65033333333334,340.0,29,4.344827586206897,11.793103448275861,0.034482758620689655,29,0.06896551724137931,0.21430954463901783,0.00015758989722531322,0.9992540043972747
la_cuisine,13,13,10,2,14,2054.99,333.55,2388.54,146.785,3685.714285714286,14,3.7857142857142856,7.642857142857143,0.0,14,0.2857142857142857,0.13964597620303618,0.00015279270345459393,0.9994067971007293
arts_and_craftmanship,23,21,19,13,24,1814.01,370.13,2184.14,75.58375,1369.875,24,4.125,5.666666666666667,0.041666666666666664,24,0.125,0.16946258023753058,0.00013487534829545057,0.9995416724490248
diapers_and_hygiene,25,24,10,6,37,1403.8899999999999,546.37,1950.26,37.94297297297297,662.1621621621622,36,3.3333333333333335,10.083333333333334,0.0,36,0.2222222222222222,0.2801523899377519,0.0001043820886976919,0.9996460545377225
pc_gamer,7,7,2,2,8,1306.95,123.14999999999999,1430.1,163.36875,2018.125,8,3.625,9.5,0.0,8,0.25,0.08611285924061254,9.717440171484122e-05,0.9997432289394373
flowers,29,29,14,3,33,1110.04,488.87,1598.91,33.63757575757575,1834.8484848484848,33,4.212121212121212,11.121212121212121,0.030303030303030304,33,0.12121212121212122,0.30575204357968866,8.25337410608993e-05,0.9998257626804983
home_comfort_2,24,23,5,4,30,760.27,410.31,1170.58,25.342333333333332,827.9333333333333,30,3.3666666666666667,14.533333333333333,0.13333333333333333,30,0.3333333333333333,0.3505185463616327,5.6527627217370465e-05,0.9998822903077157
cds_dvds_musicals,12,12,1,1,14,730.0,224.98999999999998,954.99,52.142857142857146,550.0,14,4.642857142857143,10.571428571428571,0.0,14,0.0,0.23559408999047107,5.4276990896234816e-05,0.9999365672986119
fashion_childrens_clothes,8,8,5,4,8,569.85,95.51,665.36,71.23125,265.0,7,5.0,8.857142857142858,0.0,7,0.0,0.14354635084766143,4.236951131810878e-05,0.99997893680993
security_and_services,2,2,2,2,2,283.28999999999996,41.22,324.51,141.64499999999998,812.5,2,2.5,15.0,0.0,2,0.5,0.1270222797448461,2.1063190069855286e-05,0.9999999999999999
